id,office_id,name,numberofpeople,gender,alias,active,activeend,master,oldname,brain,encounter,named,memo,official,twitter,youtube,tiktok
1487,146,パン ,2,22,,2005/11/1 0:00,,,,両者,,,,http://kaleidoline.jp/teppen/comedians/06ha/01ha/pan.htm,,,
1488,108,パンプキンズ,2,22,,2005/1/1 0:00,2013/1/1 0:00,,,,NSC,,,https://web.archive.org/web/20080424065702/http://pumpkins.laff.jp/,,,
1489,88,ぴーかぶー,2,22,,2014/1/1 0:00,2016/1/1 0:00,,ピーナッツパン（田中） あめんぼ（天野）[1],,,,,https://web.archive.org/web/20160115222745/http://www.p-jinriki.com/talent/peekaboo/,,,
1490,88,ピーナッツパン ,2,22,,2005/1/1 0:00,2011/1/1 0:00,,,,,,,http://www.p-jinriki.com/pc/talent/peanutspan/,,,
1491,107,ビジーストリート,2,22,,2009/1/1 0:00,,,,,,,,https://www.tap-1.jp/talents/view/91,,,
1492,108,非常階段 ,2,22,,1985/1/1 0:00,1996/1/1 0:00,,,,小学校,,,,,,
1493,59,姫くり,2,22,,2007/4/1 0:00,2013/2/1 0:00,,,,,,,http://neet-project.com/profile/yuzu/,,,
1494,108,ピンクダック,2,22,,1984/1/1 0:00,1993/1/1 0:00,,ミチ・レイコ,,,,,,,,
1495,123,ピンクの電話,2,22,,1986/1/1 0:00,,,大阪シスターズ,,,,,https://ishii-mitsuzo.com/wp-content/uploads/2018/11/%E3%83%94%E3%83%B3%E3%82%AF%E3%81%AE%E9%9B%BB%E8%A9%B1%E3%80%80%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB.pdf,,,
1496,53,ぷち観音,2,22,,2009/1/1 0:00,2012/1/1 0:00,,なつ☆あつこ（安藤）,,,,,https://web.archive.org/web/20120511022705/http://www.sunmusic.org/profile/puchikannon.html,,,
1497,999,芙蓉愛花・松島洋子,2,22,,1964/1/1 0:00,,芙蓉軒麗花（愛花）,,,,,,,,,
1498,117,フライデーズ,2,22,,2014/1/1 0:00,2017/1/1 0:00,,,,ミニマムスパイス 第1回公演『メモリー』,,,https://web.archive.org/web/20170703214219/https://www.shochikugeino.co.jp/talents/fridays/,,,
1499,96,ブラット,2,22,,2012/1/1 0:00,2015/1/1 0:00,,LA・セレ部（ゆーびーむ☆） アップターンガール（みなみ）,,先輩芸人の紹介,,,https://web.archive.org/web/20150513140745/http://www.maseki.co.jp/talent/brat,,,
1500,146,フラッパー☆,2,22,,2007/1/1 0:00,2012/1/1 0:00,,,,NSCの同期生,,,https://natalie.mu/owarai/artist/7255,,,
1501,85,ぷらんくしょん,2,22,,2013/7/1 0:00,,,ロールキャンキャン（やほし、ぐっち） さくらアンタツ（ラティーン）,,ワタナベコメディスクールの同期生,,,https://web.archive.org/web/20190331040545/http://www.maseki.co.jp/talent/planction,,,
1502,28,ブルームフラワー,2,22,,2002/5/1 0:00,2008/8/1 0:00,,,,東京アナウンス学院お笑いタレント科,,,http://blog.livedoor.jp/chi_mi_/,,,
1503,33,ブルマ ,2,22,,2009/1/1 0:00,2011/1/1 0:00,,,,,,,,,,
1504,108,ブロッサム ,2,22,,,2006/3/1 0:00,,ピース,,高校,,,,,,
1505,108,紅しょうが,2,22,,2014/1/1 0:00,,,,,,,,https://profile.yoshimoto.co.jp/talent/detail?id=6365,https://twitter.com/benishoga_info,https://www.youtube.com/channel/UCWdOGbJGmAm-Cr1aGuPeZSA,https://www.tiktok.com/@benisyoga_buzzrimon
1506,9,ベルサイユ ,2,22,,2006/1/1 0:00,,,MPガールズ、ハッピーベリー,,,,,http://kaleidoline.jp/teppen/comedians/06ha/04he/versailles.htm,,,
1507,95,HENHEN事変,2,22,,2015/1/1 0:00,2019/4/1 0:00,,,,東京アナウンス学院,,,https://natalie.mu/owarai/artist/106321,,,
1508,85,変ホ長調 ,2,22,,2005/1/1 0:00,,,,両者,元同僚,,,https://www.m-1gp.com/combi/90.html,,,
1509,117,鳳仙花,2,22,,2004/1/1 0:00,2009/1/1 0:00,,だるまにあ（沼田）  杏（中村） 中村井,,,,,https://web.archive.org/web/20091230135541/http://www.shochikugeino.co.jp:80/talents/03/post-90.html,,,
1510,94,法薬女子大学,2,22,,2007/3/1 0:00,,,MK研進会、エルアール30,,,,,https://web.archive.org/web/20140209225911/http://com.horipro.co.jp/talent/%E6%B3%95%E8%96%AC%E5%A5%B3%E5%AD%90%E5%A4%A7%E5%AD%A6%20/index.html,,,
1511,88,北陽,2,22,,1995/4/1 0:00,,,北陽/s,両者,埼玉県立久喜北陽高等学校,,,https://www.p-jinriki.com/talent/hokuyo/,,https://www.youtube.com/channel/UCqeLKHWp_UBYzAEWYiYiH4A,
1512,94,保健体育委員 ,2,22,,1996/4/1 0:00,,,,,高校,,,,,,
1513,146,ボルサリーノ,2,22,,1994/1/1 0:00,,,,,,,,https://profile.yoshimoto.co.jp/talent/detail?id=516,,,
1514,117,-4℃,2,22,,1992/7/1 0:00,1996/9/1 0:00,,,,,,,,,,
1515,141,☆まかりな☆,2,22,,,,,,,双子の姉妹,,,https://office-surprise.jp/talent/makarina/,https://twitter.com/makarinafutago,,https://www.tiktok.com/@userrlzj4o9g32
1516,41,魔女っこ,2,22,,2008/1/1 0:00,2013/1/1 0:00,,,,,,,https://web.archive.org/web/20100121063303/http://w-current.com/cur_majokko.html,,https://www.youtube.com/channel/UC3pCgKyoD9M2HhPOxsMys6Q,
1517,53,まちむすめ,2,22,,2017/5/1 0:00,2019/3/1 0:00,,,,,,,https://web.archive.org/web/20180227055051/http://www.sunmusic.org/profile/machimusume.html,https://twitter.com/ay_mcmsm_mmm,https://www.youtube.com/channel/UC0FxV5skRXVhsLiNsBaUSXA,https://www.tiktok.com/@MS4wLjABAAAAzQvVQ6nQmShg2CZtkqbFNGo9Vf5EyKEP3R99wG7C_evfm3v8bsXjGegz0BzE7hzt
1518,108,まつトミ,2,22,,2000/1/1 0:00,,,今野家なにもかにも,,,,,https://profile.yoshimoto.co.jp/talent/detail?id=6180,,,
1519,53,マリア ,2,22,,2009/1/1 0:00,,,,,,,,https://owarai-maria.amebaownd.com/,,https://www.youtube.com/user/EechannelTV,
1520,125,マンゴスティン,2,22,,1999/1/1 0:00,2008/1/1 0:00,,,,中学時代からの同級生,,,https://web.archive.org/web/20061106170853/http://ip.tosp.co.jp/i.asp?i=MANGOSTIN99_05_,,,
