id,事務所id,名前,人数,性別,別名,active,activeend,師匠,旧コンビ名,ネタ製作者,出会い,由来,公式サイト,YouTube,tiktok
31,108,あさり・かつお,2,11,,1992/1/1 0:00,2006/1/1 0:00,桂三枝（現・六代桂文枝）(あさり) オール阪神(かつお),立花あさり・土佐かつお,,,,,,
32,138,あさりど,2,11,,1994/1/1 0:00,,,,,欽ちゃん劇団1期生,,http://www.hagimoto-kikaku.co.jp/asarido/,,
33,108,アジアントール,2,11,,2004/1/1 0:00,2019/6/1 0:00,,,,,,,,
34,108,足軽エンペラー,2,11,,1999/1/1 0:00,2003/1/1 0:00,,,山里亮太,,,,,
35,999,東京二・京太,2,11,,,1985/1/1 0:00,Wけんじ（東京二）、松鶴家千代若・千代菊（東京太）,西若二・菊二,,,,,,
36,999,東京丸・京平,2,11,,1972/1/1 0:00,,東京二・京太,,,,,http://kyoumarukyouhei.web.fc2.com/,,
37,999,東ヤジロー・キタハチ,2,11,,1935/1/1 0:00,1953/1/1 0:00,東喜代駒,ゴールデン・バット,,,,,,
38,85,遊び屋,2,11,,2003/1/1 0:00,,,ジンギスカン,洋平,中学校の同級生,,,,
39,38,アッチャンズ,2,11,,2008/1/1 0:00,2015/1/1 0:00,ビートたけし,あっちゃん,お互い,,,,,
40,108,アッパレード,2,11,,2017/1/1 0:00,2018/1/1 0:00,,シンクロック（木尾） ブレイブマン（吉田）,,,,,,
41,146,アップダウン,2,11,,1996/4/1 0:00,,,,,北海道札幌月寒高等学校,,https://profile.yoshimoto.co.jp/talent/detail?id=188,,
42,58,あどばるーん,2,11,,2002/1/1 0:00,,,シクラメン兄弟・アドバルーン,両者,,,http://solearia.com/adoba.html,,
43,85,ADVANCE ,2,11,,2013/1/1 0:00,,,,ユウキ・ミズハラ,双子の兄弟,,https://advanceofficial.wixsite.com/website/profile,,
44,88,アナクロニスティック,2,11,,2014/1/1 0:00,,,,長谷川巧貴,高校、大学の同級生,,http://www.p-jinriki.com/talent/anacronistic/,,
45,125,アニマル梯団,2,11,,1991/1/1 0:00,2000/1/1 0:00,,,,関西創価高等学校の同級生,,,,
46,123,あばれヌンチャク,2,11,,1999/1/1 0:00,2005/1/1 0:00,,,斎藤恭央,,,,,
47,95,アビリティモンキー,2,11,,2008/1/1 0:00,2009/1/1 0:00,,,,,,,,
48,117,あひるちゃんスポンジクラブ,2,11,,2005/1/1 0:00,,,もりかずき,,,,https://www.shochikugeino.co.jp/talents/ahiruchanspongeclub/,,
49,108,アホマイルド,2,11,,1999/1/1 0:00,2015/1/1 0:00,,,,武相高校,,,,
50,95,あま福,2,11,,2015/1/1 0:00,,,,,,,,,
51,85,アマレス兄弟,2,11,,2016/1/1 0:00,,,,,,,,,
